uid,city,state,country,latitude,longitude,status,plant_type,capacity,owner_name,parent_name,raw_mtrl
GACTUSA0001,San Antonio,Texas,United States of America,29.611942,-98.374994,Operating,Integrated,1.6,Alamo Cement Co,Buzzi Unicem SpA,unknown
GACTUSA0002,Cape Girardeau,Missouri,United States of America,37.267699,-89.537885,Operating,Grinding,1.8,Buzzi Unicem USA Inc,Buzzi Unicem SpA,"limestone, coal"
GACTUSA0003,Chattanooga,Tennessee,United States of America,35.101255,-85.34367,Operating,Grinding,0.65,Buzzi Unicem USA Inc,Buzzi Unicem SpA,"limestone, coal"
GACTUSA0004,Festus,Missouri,United States of America,38.181745,-90.337427,Operating,Integrated,2.0,Buzzi Unicem USA Inc,Buzzi Unicem SpA,"limestone, coal"
GACTUSA0005,Greencastle,Indiana,United States of America,39.616962,-86.867685,Operating,Grinding,1.4,Buzzi Unicem USA Inc,Buzzi Unicem SpA,limestone
GACTUSA0006,Maryneal,Texas,United States of America,32.246956,-100.457576,Operating,Integrated,1.7,Buzzi Unicem USA Inc,Buzzi Unicem SpA,unknown
GACTUSA0007,Pryor,Oklahoma,United States of America,36.272283,-95.223425,Operating,Integrated,1.5,Buzzi Unicem USA Inc,Buzzi Unicem SpA,"limestone, coal"
GACTUSA0008,Stockertown,Pennsylvania,United States of America,40.750707,-75.271596,Operating,Grinding,2.5,Buzzi Unicem USA Inc,Buzzi Unicem SpA,limestone
GACTUSA0009,Sumterville,Florida,United States of America,28.760848,-82.025558,Operating,Grinding,1.2,Suwannee American Cement Company LLC,CRH PLC,unknown
GACTUSA0010,Chanute,Kansas,United States of America,37.698646,-95.460495,Operating,Grinding,2.0,Ash Grove Cement Co,CRH PLC,"limestone, coal"
GACTUSA0011,Montana City,Montana,United States of America,46.543461,-111.922081,Operating,Integrated,2.0,Ash Grove Cement Co,CRH PLC,limestone
GACTUSA0012,Huntington,Oregon,United States of America,44.542712,-117.42168,Operating,Integrated,0.9,Ash Grove Cement Co,CRH PLC,limestone
GACTUSA0013,Foreman,Arkansas,United States of America,33.694814,-94.420652,Operating,Integrated,1.0,Ash Grove Cement Co,CRH PLC,"limestone, coal"
GACTUSA0014,Louisville,Nebraska,United States of America,41.006191,-96.15416,Operating,Integrated,0.7,Ash Grove Cement Co,CRH PLC,"limestone, coal"
GACTUSA0015,Leamington,Utah,United States of America,39.563831,-112.197506,Operating,Integrated,2.1,Ash Grove Cement Co,CRH PLC,unknown
GACTUSA0016,Seattle,Washington,United States of America,47.568137,-122.342701,Operating,Integrated,2.3,Ash Grove Cement Co,CRH PLC,limestone
GACTUSA0017,Midlothian,Texas,United States of America,32.520953,-97.006754,Operating,Integrated,0.8,Ash Grove Cement Co,CRH PLC,"limestone, coal"
GACTUSA0018,Branford,Florida,United States of America,29.962052,-82.850364,Operating,Integrated,0.5,Suwannee American Cement Company LLC,CRH PLC,unknown
GACTUSA0019,San Antonio,Texas,United States of America,29.546941,-98.420966,Operating,Integrated,0.3,Capitol Aggregates Inc,Capitol Aggregates Inc,unknown
GACTUSA0020,Woodway,Texas,United States of America,31.482109,-97.240875,Operating,Grinding,1.1,Lehigh White Cement Co,Cementir Holding NV,unknown
GACTUSA0021,York,Pennsylvania,United States of America,39.94794,-76.76876,Operating,Grinding,1.5,Lehigh White Cement Co,Cementir Holding NV,limestone
GACTUSA0022,Brooksville,Florida,United States of America,28.582321,-82.430867,Operating,Integrated,1.5,Cemex Inc,CEMEX SAB de CV,unknown
GACTUSA0023,Perry,Georgia,United States of America,32.415567,-83.633103,Operating,Integrated,0.8,Cemex Inc,CEMEX SAB de CV,unknown
GACTUSA0024,Demopolis,Alabama,United States of America,32.51394,-87.814993,Operating,Grinding,0.9,Cemex Inc,CEMEX SAB de CV,"limestone, coal"
